Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Mybl1,Havcr2,0.2897300152395968,Ccr2,0.31027049835440623,Rbl1,0.3225955903885262,Irf4,Trbc1,Il18rap
Trbc1,Pdcd1,0.28833026516520327,Ifngr1,0.30718841371289346,Havcr2,0.3225920211738346,Foxp1,Icos,E2f3
Klra1,Klf3,0.28700731745794733,Cenpk,0.3068499173917204,Prmt7,0.3199951344554492,Kmt5b,Zfp382,H2-Ab1
Icos,Polr2f,0.28671920560334535,Polr2f,0.3052569404199197,E2f8,0.3199457837207274,Ifngr1,Trim24,Brd8
Ccr7,Klrd1,0.28570165765002375,Klrg1,0.2964256129186619,Mcm8,0.3184621811407963,Trp73,Ssbp2,Slamf6
Zfp382,Rfc1,0.282772311049533,Irf4,0.2944150702322452,Ahr,0.3171738581626323,Klra4,Deaf1,Hnrnpr
Atf7ip,Atf7ip,0.2795898713377229,Brip1,0.29382747995242076,Mcm7,0.31556359151667096,Cd6,Pbx4,Tnfsf8
Trim24,Skil,0.27788505547395864,Klrk1,0.2898764681666555,Cd74,0.31406129826463663,Klrc1,Setbp1,Ikzf2
Nfic,Klrg1,0.27631232336939165,Fosb,0.28594574851869003,Ikzf2,0.3108042051829125,Fkbp5,Cd86,Klra3
E2f8,Rbbp4,0.2756212937526881,Il2ra,0.2813258529061251,Dnmt1,0.31018660029225076,Cd226,Nfic,Il2ra
Cxcr5,Tnfsf8,0.2753912905711667,Hnrnpr,0.2794961690167765,Tet1,0.3078763450954122,Atf1,Cd22,Cx3cr1
Cd22,Cenpk,0.27270341481042704,Brca1,0.2792991360274692,Itgax,0.3072610567407375,Ncr1,Pml,Rad51
Runx3,Tnfrsf9,0.2711156066003507,Hnrnpd,0.279254939281197,Il23r,0.30668428382136426,Aurkb,Itga2,Ctla4
