wilcoxon,t-test,t-test_overestim_var
Fxr1,Tmem126a,Gtf2e2
Ran,Cep19,Eprs
Ezh2,Prpf40a,Cep19
Tbrg1,Timm13,Ifrd1
Oxct1,Adh5,Ncapd2
Avl9,Gtf2e2,Mrpl17
Dusp19,Ccna2,Ndufs4
Ifih1,Cdk5rap2,Trmt112
Gnas,Mtln,Eef1e1
Chchd1,Eef1e1,Mrpl12
Uqcrc2,Ifrd1,Ift80
Ndufaf3,Mrpl17,Mtln
Rtraf,Mrpl12,Cct8
Nifk,Ccpg1os,Sh3bgrl
Cops2,Ran,Smarcc1
Mrpl23,Smarcc1,Hivep2
Cdca8,Eprs,Srsf5
9530068E07Rik,Hexim1,Cdk5rap2
Babam1,Amz2,Cdk4
Mtif2,Hivep2,Lif
Hibadh,Il23r,Ran
Thap12,Ndufs4,Nop10
Mrps18a,Kdm5b,Trbc2
Srp72,Tlr7,Kdm5b
Rnf4,Cct8,Ccna2
Ddx1,Rapgef4,Hexim1
Ccnl1,Trmt112,Mphosph10
Fars2,Mccc2,Sept1
Fam216a,Sh3bgrl,Ppil3
Ccr6,Cdk4,Mrps33
Rpa1,Cux1,Nme1
Rpgrip1,Mphosph10,Mrpl32
Fundc1,Trbc2,Tbrg1
Pbdc1,Ppil3,Cux1
Satb1,Srsf5,Cbr1
Sdhaf4,Cbr1,Amz2
Smim10l1,Nme1,Tm2d2
Pclaf,Nop10,Spint2
Mppe1,Gcat,Erh
Cd320,Mrps33,Oaf
Rbm17,Dennd2d,Dennd2d
Erh,Mrpl32,Ezh2
Rbbp8,Ccnb1,Tlr7
Heatr3,Tm2d2,Atp5c1
Gatd3a,Ahr,Uqcrb
Fchsd2,Spint2,Ccpg1os
Trmt1,Sept1,Cdkn1b
Shmt2,Tbrg1,Gcat
Rsf1,Bace2,Ywhae
Trib2,Ezh2,Mccc2
Timm13,Sco1,Stim2
Il6st,Ccdc30,Ccnb1
Atad2b,Erh,Tsr1
Grpel1,Rogdi,Ccdc30
Myb,Camsap2,Rars
Mettl16,Cks1b,Cks1b
Tmem126a,Cdkn1b,Psma6
Ndufa12,Tsr1,Txnl4a
Klk8,Atp5c1,Ahr
Nfkbie,Uqcrb,Satb1
Echs1,Ywhae,Sec61a1
Cd200,Stim2,Pdcd5
Eif1a,Ppp2r5d,Sco1
Uhrf1bp1l,Ift57,Zbtb11
Daxx,Rars,Ndufb5
Ost4,Txnl4a,Ppp2r5d
Mdh2,Zbtb11,Il23r
Pdzd11,Psma6,Ndufa7
Czib,Smad1,Camsap2
Rgs2,Haus1,Haus1
Nufip1,Tkfc,Ndufaf4
Grb2,Satb1,Mrps14
Rfx7,Sec61a1,Rapgef4
Dcaf11,Ndufaf4,Trpc4ap
Ttll12,Pdcd5,Mlec
Kbtbd11,Fars2,Map3k8
Mrpl32,Map3k8,Fars2
Med11,Ttc3,Dynlt1f
Yipf5,Erlin1,BC005624
Mbp,Mlec,Ttc3
Klhdc4,Trpc4ap,Rpf1
Usp9x,Mrps14,Tkfc
Bag4,Ndufb5,Ift57
Lpxn,Synj2,Tars
Ruvbl1,Dynlt1f,Rogdi
2210016F16Rik,Il7r,Qrich1
Mrpl27,Ndufa7,Ppih
Zbtb21,Ldlrad4,Abce1
Ddx27,Rpf1,Edf1
Bdh1,Ppih,Grb2
Mthfd2,Tars,Paip2
Atp5c1,Abce1,Wdr89
Srp54a,Qrich1,Bace2
Knstrn,BC005624,Mrps18a
Mrps33,Cenpf,Akap13
Tbc1d1,6330403K07Rik,Erlin1
Akap13,Tpx2,Il7r
Tnfrsf4,Mrps18a,Smad1
Dpp9,Wdr89,Fnta
Nbn,Paip2b,Mrpl1
