gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Stat4,-0.08818488,0.7335728727577275,-0.96767247,-0.08818488,0.15667379378978072,-1.7294745,-0.08818488,0.48885189496885123,-1.1689051,-0.025586098
Stat1,-0.45547882,6.983249732797522e-10,-6.508643,-0.45547882,5.944719133243032e-18,-9.05963,-0.45547882,6.531087096245936e-08,-5.848837,-0.11128535
Gls,-0.10744754,0.059735019875520524,-2.3631878,-0.10744754,0.0564521644494714,-2.2409613,-0.10744754,0.30300957764662106,-1.5330355,0.012310285
Nab1,0.3414452,6.119659749494579e-08,5.7667108,0.3414452,1.3896932605021512e-09,6.4237866,0.3414452,4.934058576670823e-05,4.521479,-0.0133820055
Nemp2,-0.0053974907,0.41147615349369787,1.393278,-0.0053974907,0.9804668450897135,-0.046692565,-0.0053974907,0.9921591791860976,-0.031943284,-0.013762936
Mfsd6,-0.4782853,1.0,-0.3695791,-0.4782853,0.0024021933977412292,-3.3819668,-0.4782853,0.10518075150946662,-2.128293,-0.0165544
Inpp1,0.12937571,0.0016811380034102098,3.556295,0.12937571,0.1459319776247554,1.769447,0.12937571,0.4497593242573035,1.2411628,0.01134724
Hibch,0.17211895,0.01995543465791034,2.7818415,0.17211895,0.1854521827860829,1.6252962,0.17211895,0.49460882493454006,1.1584747,-0.014782566
1700019D03Rik,-22.928938,1.0,-0.578939,-22.928938,7.5547081547382e-17,-8.637064,-22.928938,0.015103891024532672,-2.931418,-0.0054119206
Mstn,,,,,,,,,,
1700019A02Rik,-18.699545,1.0,-0.03992683,-18.699545,0.07140280581856266,-2.1304398,-18.699545,0.7202028523404647,-0.72307086,-0.0011257703
Pms1,-0.10226324,1.0,0.19861038,-0.10226324,0.5649209257285362,-0.7538506,-0.10226324,0.7961104985425329,-0.51914424,-0.029851887
Ormdl1,0.75777346,5.501918005222584e-22,9.944076,0.75777346,5.410056877388983e-19,9.376788,0.75777346,3.6217959780482684e-11,7.06229,0.067033574
Gm28778,,,,,,,,,,
Osgepl1,0.29543397,0.9208663349206834,0.7437982,0.29543397,0.19720744613647892,1.5884221,0.29543397,0.4708397633630821,1.201789,-0.026320606
Gm28551,0.018276947,1.0,-0.0020805544,0.018276947,0.9983764324375249,0.011780541,0.018276947,1.0,0.008433328,-0.0009086082
Asnsd1,0.36449054,1.8745438417821594e-08,5.9708776,0.36449054,1.4239391003107565e-06,5.1750455,0.36449054,0.0010435880710897073,3.7511659,-0.083894804
Gm50478,,,,,,,,,,
Dnah7a,,,,,,,,,,
Stk17b,-0.36059,3.8846597016020766e-20,-9.499621,-0.36059,1.3742257539209213e-20,-9.773657,-0.36059,5.946612156191239e-10,-6.635051,-0.011856449
Hecw2,2.0086854,1.0,0.22075343,2.0086854,0.1417294591101887,1.7864928,2.0086854,0.2596885847650155,1.6346091,0.00028540796
Ccdc150,-16.445465,1.0,-0.019963415,-16.445465,0.15943954473051708,-1.7175589,-16.445465,0.77615698265977,-0.58293915,-6.4583044e-05
Gtf3c3,-0.06080631,1.0,0.6007353,-0.06080631,0.7442178338596505,-0.4489525,-0.06080631,0.8588102935493084,-0.3124757,0.014841635
Gm34066,,,,,,,,,,
